R	2.6332	1.5007	1.1895	1477010443150000	-0.0024	2.8500	-0.0314	0.9995
R	3.0971	1.5703	1.2517	1477010443950000	-0.1334	3.6370	-0.2790	0.9603
R	4.2079	1.6759	0.4343	1477010444750000	-0.4560	4.3668	-0.5090	0.8607
R	5.4898	1.8166	1.2091	1477010445550000	-0.9500	4.9934	-0.7071	0.7071
R	5.8829	1.8637	0.7261	1477010446350000	-1.5843	5.4775	-0.8607	0.5090
R	6.1452	1.9900	0.6497	1477010447150000	-2.3190	5.7886	-0.9603	0.2790
R	6.9625	2.1272	0.6512	1477010447950000	-3.1080	5.9073	-0.9995	0.0314
R	7.0925	2.1384	0.3866	1477010448750000	-3.9018	5.8259	-0.9759	-0.2181
R	7.4431	2.2767	0.4281	1477010449550000	-4.6504	5.5498	-0.8910	-0.4540
R	7.1123	2.3989	0.2934	1477010450350000	-5.3068	5.0961	-0.7501	-0.6613
R	7.3285	2.4750	0.0812	1477010451150000	-5.8297	4.4935	-0.5621	-0.8271
R	7.0211	2.6244	-0.3555	1477010451950000	-6.1864	3.7797	-0.3388	-0.9409
R	6.7126	2.7377	-0.2784	1477010452750000	-6.3543	2.9997	-0.0941	-0.9956
R	6.5358	2.7980	-0.2878	1477010453550000	-6.3230	2.2024	0.1564	-0.9877
R	6.2352	2.8795	-0.6294	1477010454350000	-6.0944	1.4379	0.3971	-0.9178
R	5.9753	3.0180	-0.8119	1477010455150000	-5.6828	0.7543	0.6129	-0.7902
R	5.3698	3.1558	-1.2248	1477010455950000	-5.1142	0.1946	0.7901	-0.6129
R	4.6410	-3.1155	-0.2027	1477010456750000	-4.4242	-0.2062	0.9177	-0.3972
R	3.5577	-3.0102	-1.4625	1477010457550000	-3.6563	-0.4228	0.9877	-0.1565
R	3.0340	-3.0168	-0.7300	1477010458350000	-2.8586	-0.4416	0.9956	0.0941
R	1.7050	-3.0314	-1.5689	1477010459150000	-2.0813	-0.2614	0.9409	0.3387
R	1.0364	3.0372	-1.1117	1477010459950000	-1.3732	0.1064	0.8271	0.5621
R	0.8348	2.4589	-0.3879	1477010460750000	-0.7789	0.6388	0.6613	0.7501
R	1.5043	1.8200	0.8797	1477010461550000	-0.3356	1.3022	0.4540	0.8910
R	1.8342	1.6465	0.8561	1477010462350000	-0.0712	2.0550	0.2182	0.9759
R	2.9666	1.5544	0.9956	1477010463150000	-0.0008	2.8500	0.0000	1.0000
R	3.6014	1.5510	1.0344	1477010463950000	0.1054	3.6408	0.2487	0.9686
R	4.8682	1.4606	1.0798	1477010464750000	0.4050	4.3803	0.4818	0.8763
R	5.1885	1.4420	0.4239	1477010465550000	0.8790	5.0222	0.6846	0.7289
R	5.6876	1.2971	0.2028	1477010466350000	1.4978	5.5259	0.8443	0.5358
R	6.7619	1.2587	0.5748	1477010467150000	2.2224	5.8600	0.9511	0.3090
R	6.7071	1.1297	0.4029	1477010467950000	3.0073	6.0033	0.9980	0.0628
R	6.8608	1.0043	0.2970	1477010468750000	3.8032	5.9470	0.9823	-0.1874
R	7.8635	0.8724	0.4952	1477010469550000	4.5601	5.6944	0.9048	-0.4258
R	7.2134	0.7979	0.5821	1477010470350000	5.2305	5.2616	0.7705	-0.6374
R	7.7394	0.6650	-0.3931	1477010471150000	5.7721	4.6757	0.5878	-0.8090
R	6.6176	0.5464	-0.5218	1477010471950000	6.1510	3.9735	0.3681	-0.9298
R	7.1169	0.4570	-0.7651	1477010472750000	6.3433	3.1991	0.1253	-0.9921
R	6.7693	0.3817	-0.3626	1477010473550000	6.3370	2.4012	-0.1253	-0.9921
R	5.7791	0.2966	-0.6906	1477010474350000	6.1325	1.6300	-0.3681	-0.9298
R	5.5318	0.1295	-0.5839	1477010475150000	5.7427	0.9338	-0.5878	-0.8090
R	5.5171	0.0616	-1.0922	1477010475950000	5.1919	0.3565	-0.7705	-0.6374
R	5.2405	0.0114	-0.8347	1477010476750000	4.5149	-0.0658	-0.9048	-0.4258
R	3.7442	-0.0644	-0.3413	1477010477550000	3.7541	-0.3064	-0.9823	-0.1874
R	2.9627	-0.0956	-1.2152	1477010478350000	2.9574	-0.3502	-0.9980	0.0628
R	2.3522	-0.1293	-1.0235	1477010479150000	2.1749	-0.1945	-0.9511	0.3090
R	1.3828	0.1639	-0.6042	1477010479950000	1.4556	0.1509	-0.8443	0.5358
R	0.8967	0.6506	-0.3219	1477010480750000	0.8448	0.6643	-0.6845	0.7290
R	1.8259	1.3224	0.6886	1477010481550000	0.3809	1.3135	-0.4818	0.8763
R	2.1527	1.4960	0.8463	1477010482350000	0.0930	2.0576	-0.2487	0.9686
R	3.0055	1.5647	0.7204	1477010483150000	-0.0008	2.8500	0.0000	1.0000
